Variable_name	Variable_value
b2	1.0
b3	1.0
b4	1.0
b5	0.0
b6	1.0
b7	1.0
b8	1.0
b9	0.0
b10	0.0
b11	1.0
b12	0.0
b13	1.0
b14	0.0
b15	0.0
b16	0.0
b17	1.0
b18	1.0
b19	0.0
b20	1.0
b21	1.0
b22	1.0
b23	0.0
b24	1.0
b25	1.0
b26	1.0
b27	1.0
b28	0.0
b29	1.0
b30	1.0
b31	0.0
b32	0.0
b33	1.0
b34	1.0
b35	1.0
b36	0.0
b37	1.0
b38	1.0
b39	1.0
b40	0.0
b41	0.0
b42	1.0
b43	0.0
b44	0.0
b45	1.0
b46	0.0
b47	0.0
b48	0.0
b49	1.0
b50	0.0
b51	0.0
b52	0.0
b53	1.0
b54	1.0
b55	1.0
b56	1.0
b57	0.0
b58	1.0
b59	0.0
b60	0.0
b61	1.0
b62	0.0
b63	0.0
b64	0.0
b65	1.0
b66	1.0
b67	1.0
b68	1.0
b69	0.0
b70	0.0
b71	1.0
b72	1.0
b73	1.0
b74	1.0
b75	0.0
b76	0.0
b77	1.0
b78	1.0
b79	0.0
b80	1.0
b81	0.0
b82	1.0
b83	0.0
b84	1.0
b85	1.0
b86	0.0
b87	1.0
b88	1.0
b89	0.0
b90	0.0
b91	0.0
b92	0.0
b93	1.0
b94	0.0
b95	0.0
b96	0.0
b97	0.0
b98	0.0
b99	0.0
b100	1.0
b101	0.0
b102	0.0
b103	1.0
b104	0.0
b105	1.0
b106	0.0
b107	1.0
b108	1.0
b109	1.0
b110	1.0
b111	0.0
b112	1.0
b113	1.0
b114	1.0
b115	0.0
b116	0.0
b117	0.0
b118	0.0
b119	1.0
b120	1.0
b121	1.0
b122	0.0
b123	1.0
b124	0.0
b125	1.0
b126	0.0
b127	0.0
b128	0.0
b129	0.0
b130	1.0
b131	0.0
b132	1.0
b133	0.0
b134	0.0
b135	0.0
b136	0.0
b137	0.0
b138	1.0
b139	1.0
b140	0.0
b141	1.0
b142	1.0
b143	0.0
b144	1.0
b145	1.0
b146	1.0
b147	0.0
b148	0.0
b149	1.0
b150	0.0
b151	0.0
b152	0.0
b153	0.0
